speaker,vowel,F1_lobnorm,F2_lobnorm
1211,AW,0.07888888888888888,0.363
1211,AY,0.7691875,-0.2681875
1211,EH,-0.11147826086956522,0.6449565217391304
1211,EY,-0.27619999999999995,1.1548
1211,IH,-1.1767142857142858,0.7801428571428571
1211,IY,-1.515,1.5211666666666668
1211,OW,-0.6486000000000001,-0.505
1211,OY,-1.066,-1.984
1211,UH,-0.2932,-0.5806
1211,UW,-1.8438333333333332,0.19733333333333333
1212,AA,0.8792272727272727,-0.5450454545454545
1212,AE,0.33394444444444443,0.953388888888889
1212,AH,0.2925,-0.1795
1212,AO,0.021277777777777777,-1.2311666666666667
1212,AW,-0.0010000000000000065,0.2923
1212,AY,0.8030714285714285,-0.1504285714285714
1212,EH,-0.5085625,0.5338125
1212,EY,-0.745,0.7415
1212,IH,-0.66,0.306
