speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,childLatJittered,childLongJittered,birthyear,childLatJittered_day2,childLongJittered_day2,childLatJittered_day3,childLongJittered_day3
1703,503,M,white,Technical Support,bach,3,4,Littleton,suburban,1460,MA,42.5359311,-71.4905688,Littleton,suburban,1460,MA,42.5359311,-71.4905688,Littleton,1460.0,MA,2016_10_11_12_XwpmU,no,MechanicalTurkProject,42.53613340058109,-71.48493773589303,1970.0,42.58350147693772,-71.45979249602979,42.62823493238748,-71.48738695437679
1704,504,M,white,Produce Associate - Grocery,somecoll,5,3,Farmingdale,rural,4344,ME,44.2605484,-69.8278048,Farmingdale,rural,4344,ME,44.2605484,-69.8278048,Gorham,4038.0,ME,2016_10_11_13_ojscM,yes,MechanicalTurkProject,44.25499531823373,-69.8259432338372,1996.0,44.28727184637175,-69.87139226869988,44.34899149678734,-69.9181084992186
1705,505,F,white,Retail salesperson,high,6,2,Middletown,suburban,2842,RI,41.5186113,-71.2816845,Wakefield,suburban,2879,RI,41.4240132,-71.534272,Westerly,2891.0,RI,2016_10_11_15_cuIRs,yes,MechanicalTurkProject,41.51599211753858,-71.27772452319374,1982.0,41.54960276065055,-71.3431150273346,41.467428308492195,-71.38398166327843
1706,506,F,white,Work from home parent,somecoll,4,3,Southbury,suburban,6488,CT,41.476862,-73.2300815,Southbury,suburban,6488,CT,41.476862,-73.2300815,Southbury,6488.0,CT,2016_10_11_15_lwJoW,yes,MechanicalTurkProject,41.47874726911362,-73.23839090752597,1985.0,41.4921786267072,-73.19015316749044,41.4561392499451,-73.15950799064584
1707,507,M,white,Pharmacy Technician,somecoll,4,3,St. Albans,suburban,5478,VT,44.8094428,-73.0822093,St. Albans,suburban,5478,VT,44.8094428,-73.0822093,Kingston,2881.0,RI,2016_10_11_20_MDnWw,no,MechanicalTurkProject,44.80935673723746,-73.09190000439024,1997.0,44.77026629455106,-73.05883218578886,44.699715906340174,-73.03943279389996
1709,509,M,white,Scientist - Associate,bach,3,4,Auburn,suburban,4210,ME,44.0845366,-70.2496493,Auburn,suburban,4210,ME,44.0845366,-70.2496493,Auburn,4210.0,ME,2016_10_11_21_nOEiN,no,MechanicalTurkProject,44.08702615231185,-70.24099590556986,1987.0,44.10185948107433,-70.32134077579161,44.11478268367888,-70.3304576039977
1710,510,F,white,Customer Service Representative,somecoll,3,3,Limington,rural,4049,ME,43.7450037,-70.7029796,Spencer ,suburban,1562,MA,42.2472111,-71.9918667,Rockland,4841.0,ME,2016_10_11_22_zovvZ,yes,MechanicalTurkProject,43.74438699968479,-70.70247601499744,1991.0,43.74756729428507,-70.68971563584734,43.83332971573529,-70.70612947300702
1711,511,F,white,Daycare Assistant,somecoll,5,3,Dalton,rural,1226,MA,42.4811191,-73.1350734,Dalton,rural,1226,MA,42.4811191,-73.1350734,Boston,2108.0,MA,2016_10_12_10_BIYZT,yes,MechanicalTurkProject,42.48037853000067,-73.12586710279022,1987.0,42.45398471446508,-73.21072934970447,42.41142762950103,-73.12183715524179
1712,512,F,white,Instructional Technologist,bach,4,4,Bridgewater,suburban,2324,MA,41.9723874,-70.9787781,Bridgewater,suburban,2324,MA,41.9723874,-70.9787781,Boston,2116.0,MA,2016_10_12_10_cxLEo,yes,MechanicalTurkProject,41.97132355072174,-70.97763129276814,1988.0,41.94313671010436,-70.91879713985244,41.90073998138431,-70.91978085182939
1713,513,M,asianindian,Research Technician,somecoll,3,3,Wayland,suburban,1778,MA,42.3436865,-71.381186,Wayland,suburban,1778,MA,42.3436865,-71.381186,Wayland,,MA,2016_10_12_10_dWWJj,no,MechanicalTurkProject,42.3466300909276,-71.37279018319511,1992.0,42.34289519598452,-71.3512326919998,42.318795558483686,-71.32031667577859
1714,514,M,other,merchandizing,somecoll,3,3,Brockton,urban,2301,MA,42.0783714,-71.0423041,pawtucket,urban,2860,RI,41.8705624,-71.3886815,pawtucket,2860.0,RI,2016_10_12_19_vqHfz,no,MechanicalTurkProject,42.07680194396448,-71.03398941418753,1993.0,42.0862515894808,-71.07629027411902,42.09943221396962,-71.05198179932998
1715,515,F,white,Corrections Officer,somecoll,4,3,Parkman,rural,4443,ME,45.2280472,-69.3535249,Parkman,rural,4443,ME,45.2280472,-69.3535249,Parkman,4443.0,ME,2016_10_12_20_GYezi,yes,MechanicalTurkProject,45.22213492077114,-69.36068517267972,1995.0,45.20775998940958,-69.37994355054221,45.19877539164481,-69.35892728807994
1716,516,F,white,Administrative Assistant,bach,3,4,Acton,suburban,1720,MA,42.483953,-71.4384947,Acton,suburban,1720,MA,42.483953,-71.4384947,Franklin,2038.0,MA,2016_10_13_9_pEMqT,yes,MechanicalTurkProject,42.47782659083227,-71.43539937208757,1971.0,42.53697119257124,-71.42830116483375,42.599691047097686,-71.43785940974725
1718,518,F,white,Barista,bach,4,4,Easthampton,suburban,1027,MA,42.2950079,-72.7518767,Easthampton,suburban,1027,MA,42.2950079,-72.7518767,Burlington,5401.0,VT,2016_10_13_13_FMBhk,no,MechanicalTurkProject,42.29984411004239,-72.7614959285672,1993.0,42.320559361442925,-72.68757133442993,42.26420183008208,-72.6970471873254
1722,522,M,white,Education,grad,3,5,Boston,urban,2132,MA,42.2804549,-71.1620165,Boston,urban,2132,MA,42.2804549,-71.1620165,Watertown,2472.0,MA,2016_10_15_13_gEyUv,no,MechanicalTurkProject,42.28062090178284,-71.157499840819,1978.0,42.276370783392686,-71.19267733380467,42.296060362990715,-71.30864842775901
1723,523,F,white,Teacher,assoc,3,3,Plainfield,rural,1070,MA,42.5184458,-72.9190166,Plainfield,rural,1070,MA,42.5184458,-72.9190166,Greenfield,1301.0,MA,2016_10_15_14_NAKoK,yes,MechanicalTurkProject,42.51224954218643,-72.91257353063305,1990.0,42.58213850216891,-72.8138239230696,42.587257492396226,-72.9794041463437
1725,525,F,white,Assistant Librarian,assoc,4,3,Gloucester,suburban,1930,MA,42.61991,-70.6818235,Ossipee,rural,3864,NH,43.6883051,-71.100411,Ossipee,3864.0,NH,2016_10_16_9_TARoh,yes,MechanicalTurkProject,42.61567068703624,-70.67568651940907,1976.0,42.61567068703624,-70.67568651940907,42.64878150517609,-70.83180810503808
