 speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,adult_latitude,adult_longitude
1629,429,F,white,Caregiver,somecoll,5,3,Coventry,suburban,2816,RI,41.6920463,-71.6191159,Voluntown,rural,6384,CT,41.5791925,-71.8312276,Coventry,2816.0,RI,2016_10_1_17_UpGXK,no,MechanicalTurkProject,41.7000996,-71.6828444
1631,431,F,white,Graphic Designer,bach,3,4,Simsbury,suburban,6081,CT,41.905187,-72.7725513,Simsbury,suburban,6081,CT,41.905187,-72.7725513,Hartford,6105.0,CT,2016_10_1_22_qAkry,yes,MechanicalTurkProject,41.764582,-72.6908547
1632,432,M,black,Home Health Aid,somecoll,3,3,Dorchester,urban,2121,MA,42.3062667,-71.0858974,Brockton,urban,2302,MA,42.0881234,-70.9982927,Taunton,2780.0,MA,2016_10_2_4_myZtU,yes,MechanicalTurkProject,41.9019257,-71.0931485
1633,433,F,white,Entrepreneur,grad,1,5,Dartmouth,suburban,2748,MA,41.5535737,-70.9711353,Dartmouth,suburban,2748,MA,41.5535737,-70.9711353,Dartmouth,2748.0,MA,2016_10_2_8_mZRUI,no,MechanicalTurkProject,41.6332267,-70.9879928
1634,434,F,black,Lab Technician,bach,4,4,Hyde Park,suburban,2136,MA,42.2550833,-71.1292203,Hyde Park,suburban,2136,MA,42.2550833,-71.1292203,Hyde Park,2136.0,MA,2016_10_2_10_UoCSz,yes,MechanicalTurkProject,42.2556543,-71.1244963
1635,435,F,black,sales,bach,3,4,Randolph,suburban,2368,MA,42.1764456,-71.0515674,Franklin,suburban,2038,MA,42.0848585,-71.4105714,Franklin,2038.0,MA,2016_10_2_15_IRYLY,no,MechanicalTurkProject,42.5896205,-72.6110645
1636,436,M,white,Graduate Student,bach,3,4,Lexington,suburban,2420,MA,42.4570545,-71.2154642,Lexington,suburban,2420,MA,42.4570545,-71.2154642,Brunswick,4011.0,ME,2016_10_2_15_JtLhZ,yes,MechanicalTurkProject,43.9166529,-69.9659438
1637,437,M,white,Meat Clerk,high,5,2,West Haven,urban,6516,CT,41.2725732,-72.9649666,Madison,rural,6443,CT,41.344481,-72.6245213,Clinton,6413.0,CT,2016_10_2_22_alxfH,yes,MechanicalTurkProject,41.2787104,-72.5275904
1638,438,M,white,Student,somecoll,3,3,Danbury,suburban,6811,CT,41.4225862,-73.4783643,Danbury,suburban,6811,CT,41.4225862,-73.4783643,Allentown,18104.0,CT,2016_10_2_22_FfuBS,yes,MechanicalTurkProject,41.6489866,-72.9903829
1639,439,F,white,Communications Specialist,bach,3,4,Framingham,suburban,1701,MA,42.3201685,-71.440409,Framingham,suburban,1701,MA,42.3201685,-71.440409,Boston,2109.0,MA,2016_10_3_10_hSOni,yes,MechanicalTurkProject,42.3554334,-71.060511
