speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,childLatJittered,childLongJittered,birthyear
1464,264,F,white,business owner/CEO,bach,1,4,Methuen,suburban,1844,MA,42.742751,-71.178588,Methuen,suburban,1844,MA,42.742751,-71.178588,Farmington,4938.0,ME,2016_9_19_11_QxggV,yes,MechanicalTurkProject,42.74443183238168,-71.1697271727759,1990
1465,265,F,white,Technical Writer,bach,3,4,Chester,rural,1011,MA,42.3002815,-72.9687163,Chester,rural,1011,MA,42.3002815,-72.9687163,Easthampton,1027.0,MA,2016_9_19_11_zmxDF,yes,MechanicalTurkProject,42.30600080237895,-72.97757836291424,1981
1466,266,F,white,Software Sales,somecoll,3,3,Beverly,suburban,1915,MA,42.5702689,-70.8669963,Beverly,suburban,1915,MA,42.5702689,-70.8669963,Boston,2215.0,MA,2016_9_19_12_gwJkE,yes,MechanicalTurkProject,42.56569878415915,-70.85992594636049,1994
1467,267,M,white,Sales,high,3,2,South Portland,suburban,4106,ME,43.631402,-70.2859894,Portland,urban,4101,ME,43.6626067,-70.257949,Portland,4101.0,ME,2016_9_19_13_ABkKR,yes,MechanicalTurkProject,43.63078395485197,-70.28226027980679,1978
1469,269,M,white,Grocery Store Associate ,somecoll,3,3,Portsmouth,suburban,3801,NH,43.0748116,-70.8054433,Portsmouth,suburban,3801,NH,43.0748116,-70.8054433,Portsmouth,3801.0,NH,2016_9_19_14_loQls,yes,MechanicalTurkProject,43.07940490313733,-70.80293625117035,1996
1470,270,F,white,Library staffer,bach,4,4,Marlborough,suburban,1752,MA,42.3496175,-71.547214,Marlborough,suburban,1752,MA,42.3496175,-71.547214,Waltham,2453.0,MA,2016_9_19_15_igtAP,yes,MechanicalTurkProject,42.34708080311024,-71.54570512981263,1988
1471,271,F,white,Business Analyst,bach,3,4,Taunton,rural,2780,MA,41.909112,-71.1183464,Amherst,rural,2780,MA,41.909112,-71.1183464,Boston,,MA,2016_9_19_15_RbrZS,yes,MechanicalTurkProject,41.9153559743884,-71.12407336518379,1987
1472,272,F,white,Artist,bach,4,4,Boston,urban,2113,MA,42.3653348,-71.0552357,Melrose,suburban,2176,MA,42.455723,-71.0590194,Melrose,2176.0,MA,2016_9_19_15_Uthmt,yes,MechanicalTurkProject,42.36669100906164,-71.05866104928663,1973
1473,273,F,white,Appliance Technician,high,4,2,Madawaska,rural,4756,ME,47.3217083,-68.298213,Seabrook,suburban,3874,NH,42.8831227,-70.860823,Seabrook,3874.0,NH,2016_9_19_16_jJrHq,yes,MechanicalTurkProject,47.31671059460451,-68.29681434674464,1990
1475,275,M,white,VALIDATION ENGINEER,bach,4,4,PROVIDENCE,urban,2908,RI,41.8398254,-71.436794,PROVIDENCE,urban,2908,RI,41.8398254,-71.436794,WARWICK,2889.0,RI,2016_9_19_16_ufMzo,yes,MechanicalTurkProject,41.83565615926242,-71.44067823493441,1984
1476,276,M,white,Musician,bach,4,4,Derry,rural,3038,NH,42.8927614,-71.2767629,Derry,rural,3038,NH,42.8927614,-71.2767629,Boston,2120.0,MA,2016_9_19_16_YjlYJ,yes,MechanicalTurkProject,42.89301339882459,-71.28454849293048,1992
1477,277,F,white,childcare provider,bach,5,4,Standish,rural,4084,ME,43.7621466,-70.5666802,Standish,rural,4084,ME,43.7621466,-70.5666802,Sanford,4073.0,ME,2016_9_19_17_ylIPn,yes,MechanicalTurkProject,43.76844838658637,-70.57532207296533,1964
1478,278,F,white,accounting clerk,somecoll,3,3,Essex,rural,6426,CT,41.351136,-72.3971637,Essex,rural,6426,CT,41.351136,-72.3971637,Essex,6426.0,CT,2016_9_19_18_AsqXQ,no,MechanicalTurkProject,41.35801463906437,-72.38920778376956,1980
1479,279,M,white,IT Specialist,somecoll,4,3,Norwich,suburban,6360,CT,41.5478603,-72.089488,Norwich,suburban,6360,CT,41.5478603,-72.089488,Norwich,6360.0,CT,2016_9_19_18_aUMYY,no,MechanicalTurkProject,41.54814174824408,-72.08890671351006,1978
1480,280,M,white,bank management,somecoll,3,3,quincy,suburban,2169,MA,42.248386,-71.0022792,quincy,suburban,2169,MA,42.248386,-71.0022792,Weymouth,2190.0,MA,2016_9_19_18_EsFSw,yes,MechanicalTurkProject,42.24319233060687,-70.99509174212452,1955
1481,281,M,white,administrative assistant,somecoll,3,3,Fair Haven,rural,5743,VT,43.6773297,-73.3049255,Fair Haven,rural,5743,VT,43.6773297,-73.3049255,Burlington,5401.0,VT,2016_9_19_19_aossV,yes,MechanicalTurkProject,43.68317427930041,-73.30181106530787,1985
1483,283,F,white,Retail,bach,3,4,Yarmouth Port ,suburban,2675,MA,41.7041551,-70.2318012,Yarmouth Port ,suburban,2675,MA,41.7041551,-70.2318012,Yarmouth Port ,2675.0,MA,2016_9_19_21_BAByv,yes,MechanicalTurkProject,41.699368895076496,-70.23009810382091,1986
1484,284,F,white,Librarian,grad,4,5,Danvers,suburban,1923,MA,42.5741744,-70.9505165,Danvers,suburban,1923,MA,42.5741744,-70.9505165,Haverhill,1835.0,MA,2016_9_19_21_fhdWP,yes,MechanicalTurkProject,42.57302909664332,-70.95891417796798,1975
1486,286,M,white,Information Technology,bach,4,4,Needham,suburban,2192,MA,42.243453,-70.942033,Cape Elizabeth,suburban,4107,ME,43.5871732,-70.2364761,Andover,1810.0,MA,2016_9_19_21_NHmlt,yes,MechanicalTurkProject,42.24660513292784,-70.94611681089354,1975
1487,287,M,white,Human Resources Mgt,grad,3,5,bath,suburban,4530,ME,43.8882282,-69.8266991,bath,suburban,4530,ME,43.8882282,-69.8266991,bath,4530.0,ME,2016_9_19_21_pgqRm,no,MechanicalTurkProject,43.886382302962,-69.82031008297761,1977
1488,288,M,white,store manager,high,2,2,West Springfield,suburban,1089,MA,42.1254511,-72.6497341,West Springfield,suburban,1089,MA,42.1254511,-72.6497341,West Springfield,1089.0,MA,2016_9_19_22_lrDma,yes,MechanicalTurkProject,42.12998516248186,-72.6408304893702,1990
1489,289,M,white,Mason Tending,high,4,2,Rindge,rural,3461,NH,42.756663,-72.013247,Rindge,rural,3461,NH,42.756663,-72.013247,Rindge,3461.0,NH,2016_9_19_23_jRqzw,no,MechanicalTurkProject,42.758663999559744,-72.02058697846991,1994
1492,292,M,white,casino dealer,somecoll,4,3,Manchester,urban,3103,NH,42.950538,-71.4465468,Manchester,urban,3103,NH,42.950538,-71.4465468,Hampton,3842.0,NH,2016_9_20_8_wRUcV,yes,MechanicalTurkProject,42.950459649683744,-71.45597653051804,1978
1493,293,M,white,Construction,somecoll,4,3,Milford,suburban,6460,CT,41.2142663,-73.0508121,Milford,suburban,6460,CT,41.2142663,-73.0508121,Milford,6460.0,CT,2016_9_20_9_dFMvf,yes,MechanicalTurkProject,41.207724166919945,-73.0473013596242,1992
1494,294,F,white,Administrative Assistant,high,3,2,Quincy,suburban,2169,MA,42.248386,-71.0022792,Quincy,suburban,2169,MA,42.248386,-71.0022792,Boston,2120.0,MA,2016_9_20_9_hyFBI,yes,MechanicalTurkProject,42.2484605989094,-71.00497505397699,1979
1495,295,F,otherhisp,Customer Service,bach,3,4,Central Falls,urban,2863,RI,41.8900642,-71.3934808,Central Falls,urban,2863,RI,41.8900642,-71.3934808,Kingston,2881.0,RI,2016_9_20_11_wZFqg,yes,MechanicalTurkProject,41.89258486285772,-71.38450147350768,1994
