speaker1,speaker2,distance_km
1725,1224,16.611856913068145
1952,1751,3.052782778962377
1290,1232,3.2379108356411344
1603,1728,2.0879097388291874
1218,1639,2.767726023354762
1896,1712,9.058410957676179
1514,1381,9.970585076926932
1211,1380,2.6812931905453716
1401,2007,3.0804948587969943
1811,1213,27.515706243458194
1461,1756,6.059474130385051
1734,1932,3.7948758209074787
1278,1262,13.342230300536437
1206,1642,1.3856040331209307
1300,1420,1.852626647547785
1404,1648,3.5474131942230667
1343,1638,9.78237990841823
1558,1572,5.089038521376505
1790,1531,11.174848638286084
1267,1261,3.265493103482572
1295,1845,6.168897858325846
2047,1610,8.267493844272243
1231,1689,4.8480330559706175
1606,1486,1.7506066622496874
1703,1675,12.343515433580459
1215,1210,1.498640722211489
1657,1424,5.262755128835545
1700,1889,30.52947471217384
1956,1311,5.010153081931866
1736,1555,2.590103396316302
2048,1412,6.045329479349529
1223,1582,5.504566831226415
2038,1413,3.4467260965477253
1292,1443,0.9694981875865876
1873,1416,3.084896670955274
1454,1841,0.5273640039866909
1330,1317,7.34205100090304
1203,1878,10.330557906392169
1376,1293,11.099051177468464
1251,1509,1.691490454648698
1955,1244,3.5309170269069448
1479,1525,4.569690761754595
1666,1379,6.657692919333978
1884,1867,1.4420433021836363
1814,1366,8.009138005357805
1312,1775,28.22859048135186
1473,1967,47.906309209784254
1319,1253,4.010149355040389
1220,1661,5.83684924273976
1976,1787,11.538303186029474
1511,1715,23.176011502264963
1382,2015,2.0837137692892713
1960,1299,7.596661589506712
1279,1346,8.675296946871805
1207,1852,12.629582185325814
1587,1337,5.108960044412564
1446,1608,12.480825377646699
1499,1233,6.821220026998488
1306,1732,2.5129526810328136
1749,1246,6.8902566256379325
2002,1426,30.889422634219
1321,1702,70.91142387813534
1489,1533,5.172168922161941
1871,1882,5.136963129246293
1969,1779,1.9980931391011145
1935,1875,1.0018546539037105
1588,1422,4.574797622154008
1325,1695,6.963783009662468
1353,1385,7.584514306257239
1726,1243,11.556575960888628
1494,1522,5.670576247195172
1733,2042,47.755469157441574
1886,1637,5.705117775735581
1651,1599,5.036291668917737
1359,1436,1.803594001245938
1276,1667,20.004378474440124
1323,2026,1.5648197292430854
1752,1785,0.39070143188152423
1419,1316,11.573487310391208
1258,1627,2.054327785090925
1360,1284,2.516348407205689
1456,1508,99.20060434680818
1428,1437,9.601325173354562
1846,1434,5.202130747063568
1502,1862,7.947976353709968
1887,1304,14.564931073477489
1341,1536,2.922631974686619
1431,1838,8.518761099748772
1581,1526,13.956945984564486
1992,1335,10.284053074217725
1477,1823,13.468480872072046
1322,1540,2.472921908496286
1248,1829,3.9534314140873374
1318,1399,11.646167527960879
1234,1427,0.6598016206883507
1945,1906,6.188919711003127
1564,1329,5.210835282469098
1973,1604,5.62803025259278
2008,1571,3.6111931219232467
1356,1794,18.77220253911041
1297,1577,21.921155627996523
1501,1892,2.1374901194460283
1762,1942,5.147669059687388
1617,1676,4.412536953340461
1643,1576,7.094141884596342
1660,1656,6.424893092518793
1342,1328,5.303333474208838
1229,1707,22.120004795276746
1783,1336,17.16170523367356
1250,1510,0.9554875947915062
1208,1275,2.3536721548686654
1237,1679,5.388004049607431
1918,1263,19.095036279964898
1344,1662,4.74363982643876
1307,1384,1.195001181839068
1375,1640,3.6489051900846747
1503,1268,2.3102253267566604
1512,1255,0.8122817415820734
1475,1605,1.808077799438308
1204,1538,11.29133225214396
1289,1600,1.6148889320079918
1274,1310,5.454312371561572
1994,1541,1.9353975682672695
1699,1593,22.59472794100324
1585,1607,2.1485553555689805
